"spkid","rot_per(h)","diameter(km)","a(AU)","e","i(deg)","H(mag)"
20000433,5.27,16.84,1.458,0.2228,10.83,10.31
20000719,5.801,,2.637,0.5470,11.58,15.59
20000887,28.41,4.2,2.472,0.5707,9.40,13.83
20001036,10.297,37.675,2.666,0.5330,26.69,9.22
20001221,,1.0,1.919,0.4358,11.88,17.38
20001566,2.2726,1.0,1.078,0.8269,22.80,16.50
20001580,6.1324,5.8,2.198,0.4870,52.10,14.69
20001620,5.22204,2.56,1.246,0.3355,13.34,15.32
20001627,4.795,9.12,1.864,0.3965,8.45,12.74
20001685,10.1995,3.4,1.368,0.4360,9.38,14.31
20001862,3.065,1.5,1.471,0.5599,6.35,16.11
20001863,7.453,2.1,2.259,0.6058,18.40,15.44
20001864,8.572,3.7,1.461,0.6145,22.22,14.77
20001865,6.8039,1.2,1.08,0.4670,16.10,16.79
20001866,2.4,8.48,1.894,0.5383,41.20,12.56
20001915,4.9,0.5,2.544,0.5704,20.40,18.05
20001916,3.4746,3.5,2.272,0.4498,12.88,14.95
20001917,2.689,5.7,2.15,0.5056,23.96,14.40
20001943,2.86923,2.3,1.43,0.2560,8.71,15.71
20001980,7.24612,4.3,1.71,0.3648,26.87,13.78
20001981,5.22,3.4,1.777,0.6500,39.83,15.28
20002059,129.47,,2.642,0.5318,11.02,15.98
20002061,6.712,2.6,2.265,0.5360,3.80,16.70
20002062,42.15,1.1,0.967,0.1828,18.93,17.11
20002063,14.904,1.024,1.078,0.3494,9.43,17.25
20002100,19.797,2.3,0.832,0.4366,15.76,16.23
20002101,,0.6,1.874,0.7643,1.32,18.72
20002102,2.384,1.649,1.29,0.2993,64.00,15.98
20002135,,,1.6,0.5029,23.07,18.05
20002201,26,1.80,2.177,0.7121,2.52,15.35
20002202,,,2.291,0.5127,8.74,17.14
20002212,48,5.7,2.16,0.8373,11.54,13.52
20002329,4.6473,,2.41,0.6537,24.47,14.57
20002340,3.35,0.3,0.8438,0.4499,5.86,20.35
20002368,5.786,2.3,2.105,0.4133,5.22,15.19
20002608,8,0.9,2.523,0.5701,14.64,17.48
20003102,149.4,1.6,2.151,0.4496,8.44,16.17
20003103,5.7103,1.5,1.404,0.3543,20.93,15.25
20003122,2.3581,4.9,1.769,0.4232,22.14,13.92
20003199,3.021,2.2,1.575,0.2842,32.96,14.96
20003200,3.604,6.25,1.271,0.8899,22.27,14.40
20003271,,,2.101,0.3960,25.08,16.58
20003288,75,2.8,2.033,0.4563,5.93,15.35
20003352,2.206,,1.879,0.3691,4.77,15.95
20003360,,1.8,2.467,0.7456,21.14,16.05
20003361,3.5327,0.3,1.21,0.3229,2.66,19.39
20003362,,0.7,0.9895,0.4686,9.92,18.52
20003551,4.93,0.9,2.092,0.4874,9.51,16.71
20003552,6.665,19.0,4.265,0.7081,31.09,13.07
20003553,3.1944,,1.645,0.3201,36.78,16.43
20003554,2.53001,3.341,0.974,0.2807,23.36,15.91
20003671,2.7053,1.5,2.199,0.5410,13.53,16.57
20003691,226.8,4.3,1.775,0.2841,20.36,14.80
20003752,37.846,2.306,1.414,0.3015,55.56,15.22
20003753,27.3099,2.071,0.9977,0.5150,19.80,15.50
20003757,9.012,0.5,1.835,0.4456,3.87,19.04
20003838,2.3812,,1.505,0.7023,29.20,15.71
20003908,4.42601,1.0,1.927,0.4594,2.19,17.46
20003988,10.53,0.7,1.545,0.3166,10.77,17.95
20004015,3.5736,4,2.624,0.6317,2.80,16.19
20004034,44.4,0.42,1.06,0.4440,11.17,18.52
20004055,7.475,2.49,1.82,0.3262,23.26,14.77
20004179,176.,5.4,2.544,0.6246,0.45,15.32
20004183,3.5595,3.651,1.981,0.6360,6.67,14.18
20004197,3.538,1.8,2.294,0.7724,12.60,15.03
20004257,4.4,,1.647,0.4683,40.72,16.07
20004341,6.262,3.177,1.834,0.6800,11.84,16.08
20004401,6.67,1.801,2.583,0.5632,26.63,16.12
20004450,56.48,,1.442,0.5867,5.52,17.28
20004486,67.5,1.849,2.2,0.6625,3.04,15.62
20004487,,,1.731,0.2966,16.41,17.48
20004503,2.8164,,2.704,0.5243,2.51,15.82
20004544,37.65,1.3,1.042,0.2502,14.14,17.39
20004581,8.008,,1.023,0.3569,4.92,20.74
20004596,2.49101,,2.24,0.5199,37.07,16.46
20004660,15.1749,0.33,1.485,0.3588,1.45,18.65
20004688,,0.6,2.232,0.5179,6.38,19.60
20004769,4.095,1.4,1.063,0.4831,8.89,17.53
20004947,21.1,,1.37,0.1684,15.65,18.07
20004953,14.218,,1.621,0.6574,24.38,14.87
20004954,12.056,10.8,2.002,0.4492,17.43,12.57
20004957,2.892,3.499,1.566,0.2188,35.01,14.97
20005011,56.3,,1.636,0.5001,7.41,16.71
20005131,37.2,,1.486,0.5690,36.43,14.86
20005143,2.7063,4.843,1.835,0.7719,9.00,14.10
20005189,6.653,,1.552,0.4780,3.58,17.84
20005324,,,2.984,0.6047,19.62,15.45
20005332,5.803,3.6,2.164,0.4553,25.52,14.87
20005370,,3.6,3.321,0.6371,19.17,15.24
20005381,2.8233,0.935,0.9475,0.2964,48.97,16.75
20005496,2.855,,2.435,0.6353,68.00,16.15
20005587,5.0522,3.57,2.398,0.5440,18.09,13.90
20005590,,,0.9857,0.2795,14.19,19.91
20005604,5.3375,0.55,0.9286,0.4061,4.72,17.38
